"","Treatment_pair","q","raoQ_gamma","FD_gamma","FD_alpha","FD_beta","local_similarity","region_similarity","individual_id","Species","treatmentWspecies","beta"
"97","Day_Acc",1,5.14223054389474,1412.0776595199,648.739027172044,2.1766497780708,0.43894535137856,0.43894535137856,"S19","CR","Day_Acc_CR",0.56105464862144
"98","Acc_Heat",1,5.71363306799192,1334.61031931494,734.251853854892,1.81764650958403,0.56896417208671,0.56896417208671,"S19","CR","Acc_Heat_CR",0.43103582791329
"99","Heat_Cold",1,5.55660753323577,1162.96070679431,510.408333005323,2.27849083095236,0.40596071754281,0.40596071754281,"S19","CR","Heat_Cold_CR",0.59403928245719
"100","Cold_Diet",1,5.35891945987118,557.492200363539,216.86566137082,2.57067991695688,0.318925006459671,0.318925006459671,"S19","CR","Cold_Diet_CR",0.681074993540329
"101","Day_Acc",1,5.00889877914755,1460.17524405127,862.174324649233,1.69359629752988,0.619954989749293,0.619954989749293,"S2","CR","Day_Acc_CR",0.380045010250707
"102","Acc_Heat",1,4.93119732464178,734.567361169491,246.786034805488,2.97653536898254,0.2131829812812,0.2131829812812,"S2","CR","Acc_Heat_CR",0.7868170187188
"103","Heat_Cold",1,4.97975159196028,834.689871680365,305.695445258463,2.73046224478301,0.275427395891823,0.275427395891823,"S2","CR","Heat_Cold_CR",0.724572604108177
"104","Cold_Diet",1,5.11130872074153,667.654616967911,364.689158758238,1.83074983430071,0.563782667368308,0.563782667368308,"S2","CR","Cold_Diet_CR",0.436217332631692
"105","Day_Acc",1,6.19001559217867,1562.75236981179,830.498352137873,1.88170435954381,0.543980010229299,0.543980010229299,"S23","CR","Day_Acc_CR",0.456019989770701
"106","Acc_Heat",1,6.093274155078,1643.47726805517,924.207667279993,1.7782553924185,0.584768730796978,0.584768730796978,"S23","CR","Acc_Heat_CR",0.415231269203022
"107","Heat_Cold",1,5.48341048577504,900.230600223736,366.683975683096,2.45505846975368,0.352121307889044,0.352121307889044,"S23","CR","Heat_Cold_CR",0.647878692110956
"108","Cold_Diet",1,5.75128561523545,371.676210668881,205.425096079468,1.80930284450299,0.572283045413738,0.572283045413738,"S23","CR","Cold_Diet_CR",0.427716954586262
"109","Day_Acc1",1,5.92939680506048,1758.30840679088,687.860437192339,2.55619935632266,0.322999822240468,0.322999822240468,"S24","CR","Day_Acc_CR",0.677000177759532
"110","Acc_Heat",1,5.78347209468584,1168.16743586421,639.68573737911,1.82615832682213,0.565594074234055,0.565594074234055,"S24","CR","Acc_Heat_CR",0.434405925765945
"111","Heat_Cold",1,5.94966156065377,1195.09703688115,636.785145044889,1.87676651407581,0.545875411180268,0.545875411180268,"S24","CR","Heat_Cold_CR",0.454124588819732
"112","Cold_Diet",1,5.68472604230015,1552.64805232775,1080.29118763138,1.43724957687755,0.738344696987048,0.738344696987048,"S24","CR","Cold_Diet_CR",0.261655303012952
"113","Day_Acc1",1,5.66077658951605,1358.0489222306,482.920271006542,2.81215969542972,0.254160738132132,0.254160738132132,"S28","CR","Day_Acc_CR",0.745839261867868
"114","Acc_Heat",1,5.27945244095061,884.061636098955,539.521806240654,1.63860223233427,0.643767157309853,0.643767157309853,"S28","CR","Acc_Heat_CR",0.356232842690147
"115","Heat_Cold",1,4.37432328172323,746.596890705676,539.559703366728,1.3837150662792,0.765726552640922,0.765726552640922,"S28","CR","Heat_Cold_CR",0.234273447359078
