"","Treatment_pair","q","TD_gamma","TD_alpha","TD_beta","M_homog","local_similarity","region_similarity","individual_id","Species","treatmentWspecies","beta"
"54","Acc_Heat",1,1.97759357573279,1.67366771466431,1.18159271306099,0.846315307251206,0.972275367472232,0.972275367472232,"M3","AS","Acc_Heat_AS",0.0277246325277677
"55","Heat_Cold",1,1.98746243834832,1.75128098865858,1.13486211020348,0.881164320324959,0.978971434524187,0.978971434524187,"M3","AS","Heat_Cold_AS",0.0210285654758129
"56","Cold_Diet",1,1.99613505017181,1.68516898936305,1.1845310842839,0.844215920770493,0.971862696019978,0.971862696019978,"M3","AS","Cold_Diet_AS",0.0281373039800218
"57","Day_Acc1",1,1.98280952529665,1.76552434705459,1.12307118766419,0.89041550614422,0.980723033672025,0.980723033672025,"M4","AS","Day_Acc_AS",0.0192769663279752
"58","Acc_Heat",1,1.99875089928397,1.76986443732534,1.12932429011598,0.885485248791822,0.979800862168831,0.979800862168831,"M4","AS","Acc_Heat_AS",0.0201991378311686
"59","Heat_Cold",1,1.99579492004796,1.76219233500491,1.13256361431307,0.882952610663308,0.979325151032704,0.979325151032704,"M4","AS","Heat_Cold_AS",0.0206748489672955
"60","Cold_Diet",1,1.91278449577463,1.4983997371121,1.27655154255512,0.783360457187983,0.959448366042216,0.959448366042216,"M4","AS","Cold_Diet_AS",0.0405516339577836
"61","Day_Acc1",1,1.98407649424883,1.72548714591881,1.14986454633502,0.869667651887622,0.97680723997569,0.97680723997569,"M6","AS","Day_Acc_AS",0.02319276002431
"62","Acc_Heat",1,1.988553430123,1.81353336083578,1.09650777485922,0.91198623751518,0.984698551372417,0.984698551372417,"M6","AS","Acc_Heat_AS",0.015301448627583
"63","Heat_Cold",1,1.9652080358338,1.72252206380522,1.14088990621836,0.876508762633056,0.978108608832166,0.978108608832166,"M6","AS","Heat_Cold_AS",0.0218913911678337
"64","Cold_Diet",1,1.98564108270492,1.73657013463967,1.14342694435254,0.874563963127738,0.977739690263848,0.977739690263848,"M6","AS","Cold_Diet_AS",0.0222603097361525
"65","Day_Acc1",1,1.76165811937236,1.31667307148549,1.33796168352166,0.747405559005165,0.95162535267113,0.95162535267113,"M9","AS","Day_Acc_AS",0.0483746473288699
"66","Acc_Heat",1,1.98623787972528,1.77308115492242,1.12021825634495,0.892683184134851,0.981137861621034,0.981137861621034,"M9","AS","Acc_Heat_AS",0.0188621383789661
